web_scraper_order;web_scraper_start_url;link-product;product_name;price;rating;review_count;sold;seller
1774660790-89;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/dian-komputer-pusat/laptop-hp-elitebook-840-g6-core-i5-8365u-gen-8-ram-8gb-ssd-256gb-1731355734211855527-1734581280855458983?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;Laptop HP EliteBook 840 G5 dan G6 Core i5-8350U i5-8365U Gen 8 RAM 16GB 8GB SSD 512GB 256GB Siap Pakai - Non Bundle, 840 G5 8GB/256GB;3075000;50;24 rating • 15 ulasan;Terjual 30+;Dian Komputer Pusat
1774660797-90;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/jayacomputerr/laptop-hp-elitebook-x360-830-g6-touchscreen-i7-gen-8665u-ram-8gb-16gb-ssd-128gb-256gb-512gb-layar-13-3-inch-laptop-second-bergaransi-1732228895709955668?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;"Laptop Hp Elitebook x360 830 G6 ( TouchScreen ) i7 Gen 8665U RAM 8GB/16GB SSD 128GB/256GB/512GB Layar 13,3 "" Inch Laptop Second bergaransi - 830 G6 i7 gen 8, 32GB/512GB";7650000;;;;jaya computerr
1774660803-91;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/junstore-laptop-jakarta/laptop-hp-14-sekolah-kerja-intel-celeron-4gb-1tb-hdd-dvdrw-win10-office-14-0-intel-hd-bundling-1734138360724424542?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;LAPTOP HP 14 SEKOLAH KERJA Intel Celeron 4GB 1TB HDD DVDRW Win10+Office 14.0” INTEL HD BUNDLING - RAM 4GB HDD 500GB;1660200;48;22 rating • 11 ulasan;Terjual 50+;JunStore Laptop Jakarta
1774660809-92;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/us-electronic/laptop-hp-840-g3-core-i5-gen-6-ram-32gb-ssd-512gb-win-11-pro-1733949878222095489?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;Laptop Hp 840 G3 CORE i5 GEN 6-RAM 32GB-SSD 512GB - WIN 11 PRO - 8GB/256SSD, 840 G3 I5 6TH;2600000;49;65 rating • 32 ulasan;Terjual 100+;US ELECTRONIC
1774660815-93;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/sahabatlaptop/laptop-flip-2in1-hp-probook-x360-11-g6-intel-core-i5-10210y-8gb-1tb-ssd-11-6-inch-grey-win-11-home-1731849431369090568?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;Laptop Flip 2in1 HP Probook X360 11 G6 Intel Core i5 10210Y 8GB 1TB SSD 11.6 Inch Grey Win 11 Home - INTEL PENTIUM N6000 - 3 BULAN, 8GB / 128GB SSD;2999000;50;12 rating • 10 ulasan;Terjual 18;Sahabat Laptop id
1774660823-94;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/starjayaelectronic/laptop-hp-zbook-14u-g5-core-i5-gen-8-ram-8gb-256gb-ssd-free-mouse-tas-8gb-256gb-d7db3?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;Laptop HP Zbook 14u G5 Core i5 Gen 8 RAM 8GB/256GB SSD FREE MOUSE/TAS - 8GB/256GB;3850000;;;;STAR JAYA ELECTRONIC
1774660829-95;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/javasolution/laptop-hp-laptop-14s-fq0020au-amd-ryzen-3-3250u-ram-16gb-ssd-512gb-windows-11-1732790089698542727?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;Laptop HP Laptop 14s-fq0020AU AMD Ryzen 3 3250U Ram 16Gb Ssd 512Gb Windows 11 - RAM 4GB SSD 128GB;2935000;;;1 barang berhasil terjual;Java solution laptop
1774660836-96;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/laptopworks/laptop-hp-x360-435-g8-2in1-touchscreen-amd-ryzen-5-ram-16gb-ssd-512gb-free-tas-mouse-1734005161764488343?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;Laptop HP X360 435 G8 2in1 Touchscreen Amd Ryzen 5 Ram 16GB Ssd 512GB Free Tas & Mouse - 16GB, NO SSD;5485000;50;1 rating • 1 ulasan;Terjual 2;LaptopWorks
1774660844-97;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/knkbekasi/laptop-hp-probook-x360-11-g6-intel-i5-10210y-8gb-512gb-11-6-touch-grey-win10pro-1732843579762640526?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;LAPTOP HP PROBOOK X360 11 G6 INTEL I5 10210Y 8GB 512GB 11.6 TOUCH GREY WIN10PRO - 8GB SSD 256GB, UNT+BONUS;3899000;50;2 rating • 0 ulasan;Terjual 2;kliknklik bekasi cyber park
1774660850-98;https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20HP;https://www.tokopedia.com/mhstr-798/laptop-hp-x360-830-g8-core-i7-gen-11-ram-32gb-ssd-512gb-touchscren-flip-2-in-1-1730953651067586104?extParam=ivf%3Dfalse%26keyword%3Dlaptop+hp%26search_id%3D202603280110174734BA6F3DE83D39F05Y%26src%3Dsearch;Laptop HP X360 830 G8. Core i7 gen 11. Ram 32gb. SSD 512gb. Touchscren Flip 2 in 1 - 512 GB;7900000;50;1 rating • 0 ulasan;Terjual 1;mhstr
