nama_produk,harga,rating,jumlah_terjual,lokasi_penjual,kategori,brand,platform,kondisi
ZTE NUBIA V60 6/256GB | 8/256GB - SMARTPHONE,1.472.000,,,,Hp,Zte,Blibli,Baru
ZTE nubia Neo 3 GT 5G Box Edition - 8GB/256GB,2.895.000,,,,Hp,Zte,Blibli,Baru
ZTE nubia Neo 3 5G - 8GB/256GB,2.790.000,,,,Hp,Zte,Blibli,Baru
ZTE nubia Neo 3 GT 5G - 8GB/256GB,3.260.000,,,,Hp,Zte,Blibli,Baru
ZTE NUBIAFOCUS PRO 8/256GB - SMARTPHONE,2.834.000,,,,Hp,Zte,Blibli,Baru
ZTE BLADE A54 4/64GB 4/128GB - SMARTPHONE,1.044.000,,,,Hp,Zte,Blibli,Baru
ZTE NUBIA NEO 5G 8/256GB - SMARTPHONE,2.251.000,,,,Hp,Zte,Blibli,Baru
ZTE BLADE A55 4/128GB - SMARTPHONE,1.104.000,,,,Hp,Zte,Blibli,Baru
ZTE V50 8/128GB 8/256GB - SMARTPHONE,1.445.000,,,,Hp,Zte,Blibli,Baru
Handphone Jadul | HP Nokia 105 2024 Mini SIM - Garansi Resmi 1 Tahun,312.500,5,Terjual 18,,Hp,Nokia,Blibli,Baru
Pre-order,265.000,5,Terjual 88,,Hp,Nokia,Blibli,Baru
Handphone Jadul | HP Nokia 105 2024 Mini SIM - Garansi Resmi 1 Tahun,312.500,5,Terjual 24,,Hp,Nokia,Blibli,Baru
Hp Nokia Frodo 150 Garansi Resmi,499.000,,,Kota Pekanbaru,Hp,Nokia,Blibli,Baru
NOKIA 110 2024 GARANSI RESMI - NEW,350.000,,Terjual 7,Kota Surabaya,Hp,Nokia,Blibli,Baru
NOKIA 150 FRODO VALUE GARANSI RESMI - NEW,549.000,,,Kota Surabaya,Hp,Nokia,Blibli,Baru
Nokia 105 Tam,317.000,5,Terjual 240,,Hp,Nokia,Blibli,Baru
Pre-order,325.000,,Terjual 7,,Hp,Nokia,Blibli,Baru
NOKIA 105 FOX (2024) GARANSI RESMI - NEW,270.000,,Terjual 9,Kota Surabaya,Hp,Nokia,Blibli,Baru
NOKIA 150 FRODO VALUE GARANSI RESMI - PROMO,464.000,,Terjual 1,Kota Surabaya,Hp,Nokia,Blibli,Baru
"Nokia 105 FOX TA-1627 - MP3 Player, MicroSD, Dual SIM | Garansi Resmi",350.000,,,Kota Surabaya,Hp,Nokia,Blibli,Baru
"Nokia 105 LEDA Edition TA-1557 | Dual SIM, Baterai 1000mAh | Garansi Resmi",299.000,,,Kota Surabaya,Hp,Nokia,Blibli,Baru
Nokia 105 Handphone,255.000,"4,7",Terjual 15,,Hp,Nokia,Blibli,Baru
Nokia 5310 2020 Handphone,700.000,5,Terjual 10,,Hp,Nokia,Blibli,Baru
NOKIA 105 LEDA GARANSI RESMI - PROMO,239.000,5,Terjual 144,Kota Surabaya,Hp,Nokia,Blibli,Baru
Pre-order,520.000,,Terjual 25,,Hp,Nokia,Blibli,Baru
Nokia 105 DS TA- 1174,259.200,5,Terjual 58,,Hp,Nokia,Blibli,Baru
"Nokia 150 2024, Garansi Resmi",524.000,5,Terjual 17,,Hp,Nokia,Blibli,Baru
