web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller,category,brand,condition,sold_text,sold_num
1774593148-142,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/fineapplestore/advan-tbook-transformers-1405-intel-n100-ram-4gb-ssd-128gb-2024-04211-1734341408816531207?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,ADVAN TBOOK TRANSFORMERS 1405 INTEL N100 RAM 4GB SSD 128GB 2024 (04211),1800000.0,0,0 rating • 0 ulasan,Terjual 0,Fine Applestore,Laptop,Advan,Bekas,Terjual 0,0
1774593152-143,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/camlaystore/advan-tbook-1405-intel-n100-ram-4-ssd-4-ssd-128-8786-1734394956569347968?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,Advan TBOOK 1405 Intel N100 Ram 4 SSD 4 SSD 128 8786,2300000.0,0,0 rating • 0 ulasan,Terjual 0,Camlay Store,Laptop,Advan,Bekas,Terjual 0,0
1774593155-144,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/fineapplestore/advan-soulmate-1405-intel-celeron-n4020-ram-8-ssd-128-5232-1734440798069098247?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,Advan Soulmate 1405 Intel Celeron N4020 Ram 8 SSD 128 5232,2000000.0,0,0 rating • 0 ulasan,Terjual 0,Fine Applestore,Laptop,Advan,Bekas,Terjual 0,0
1774593159-145,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/fineapplestore/advan-1701-intel-core-i3-1220p-ram-8-256-ssd-2024-26271-1734402074435880711?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,ADVAN 1701 INTEL CORE I3-1220P RAM 8/256 SSD (2024) 26271,2700000.0,0,0 rating • 0 ulasan,Terjual 0,Fine Applestore,Laptop,Advan,Bekas,Terjual 0,0
1774593162-146,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/camlaystore/advan-workpro-1701-intel-core-i5-12450h-ram-16-ssd-512-5928-dus-1734410106706036608?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,Advan WorkPro 1701 Intel Core i5-12450H Ram 16 SSD 512 5928 dus,5000000.0,0,0 rating • 0 ulasan,Terjual 0,Camlay Store,Laptop,Advan,Bekas,Terjual 0,0
1774593166-147,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/jualinlaptopindones/laptop-advan-soulmate-1405-1734537989330994672?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,Laptop Advan soulmate 1405,1700000.0,0,0 rating • 0 ulasan,Terjual 0,Jualinlaptop,Laptop,Advan,Bekas,Terjual 0,0
1774593170-148,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/camlaystore/advan-workpro-lite-1701-intel-core-i5-1035g7-ram-8-ssd-256-1032-dus-1734340483261892480?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,Advan WorkPro Lite 1701 Intel Core i5-1035G7 Ram 8 SSD 256 1032 dus,3800000.0,0,0 rating • 0 ulasan,Terjual 0,Camlay Store,Laptop,Advan,Bekas,Terjual 0,0
1774593173-149,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/camlaystore/advan-360-stylus-touchscreen-intel-core-i3-1215u-ram-8-ssd-256-3641-dus-1734545465844467584?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,Advan 360 Stylus touchscreen Intel Core i3-1215U Ram 8 SSD 256 3641 dus,5000000.0,0,0 rating • 0 ulasan,Terjual 0,Camlay Store,Laptop,Advan,Bekas,Terjual 0,0
1774593177-150,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/archive-a-z234-164613885/advan-workplus-6600h-amd-ryzen-5-16gb-512gb-1tb-fullset-laptop-second-like-new-1tb-fullset-5e30b?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,Advan Workplus 6600h AMD Ryzen 5 16gb/512gb & 1TB Fullset laptop second like new - 1TB fullset,5800000.0,4.9,36 rating • 23 ulasan,Terjual 70+,Xitechofficial,Laptop,Advan,Bekas,Terjual 70+,70
1774593180-151,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/fineapplestore/advan-soulmate-1405-intel-celeron-n4020-cpu-ram-4gb-emmc-128-2024-33232-dus-1734459454681155335?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,ADVAN SOULMATE 1405 INTEL CELERON N4020 CPU RAM 4GB EMMC 128 2024 (33232) DUS,1500000.0,0,0 rating • 0 ulasan,Terjual 0,Fine Applestore,Laptop,Advan,Bekas,Terjual 0,0
