nama_produk,harga,rating,jumlah_terjual,lokasi_penjual,kategori,brand,platform
ITEL S26 ULTRA 8GB/256GB | UNISOC T7300 | 6000MAH BATTERY | 32MP SELFIE CAMERA | 3D CURVED DISPLAY,2.777.000,,,Kota Jakarta Barat,Hp,Itel,Blibli
iTel A70 Ram 4GB Rom 128GB,1.065.000,,,,Hp,Itel,Blibli
"itel A100C Ram {4GB/64GB} Layar 6.6"" 90Hz, Big Memory, 5000mAh Battery - Garansi Resmi",1.349.000,,,,Hp,Itel,Blibli
ITEL A100C RAM 4/64 GARANSI RESMI,1.410.000,,,,Hp,Itel,Blibli
Itel S26 Ultra 8/128 8/256 New Garansi Resmi Promo Bandung,2.676.960,,,,Hp,Itel,Blibli
ITEL S23 RAM 16GB (8+8)/256GB,1.599.000,,,,Hp,Itel,Blibli
Smartphone Itel A100c Garansi Resmi Indonesia,1.350.000,,,,Hp,Itel,Blibli
Itel S26 Ultra 8/128 8/256 New Garansi Resmi Promo Bandung Khusus Click & Collect,2.638.259,,,,Hp,Itel,Blibli
Itel A100C 3/64 4/64 New Garansi Resmi Promo Bandung Click & Collect,1.264.275,,,,Hp,Itel,Blibli
HP ITEL IT2320 Garansi Resmi,999,,,,Hp,Itel,Blibli
Hp Itel P70 Ram 4GB Internal 128GB Garansi Resmi,1.299.000,,,Kota Pekanbaru,Hp,Itel,Blibli
Hp Itel P55 Ram 8GB Internal 128GB Garansi Resmi,1.599.000,,,Kota Pekanbaru,Hp,Itel,Blibli
Hp Itel A70 Ram 4GB Internal 64GB Garansi Resmi,1.249.000,,,Kota Pekanbaru,Hp,Itel,Blibli
Hp Itel A70 Ram 4GB Internal 128GB Garansi Resmi,1.199.000,5,Terjual 4,Kota Pekanbaru,Hp,Itel,Blibli
Hp Itel Vision 1 Pro Ram 2GB Internal 32GB Garansi Resmi,1.150.000,5,Terjual 1,Kota Pekanbaru,Hp,Itel,Blibli
Hp Itel P55 5G Ram 6GB Internal 128GB Garansi Resmi,1.599.000,,,Kota Pekanbaru,Hp,Itel,Blibli
