nama_produk,harga,rating,jumlah_terjual,lokasi_penjual,kategori,brand,platform
NOKIA 105 LEDA - GARANSI RESMI 1 TAHUN RUSAK GANTI BARU,500.000,,Terjual 2,,Hp,Nokia,Bliblii
Nokia 110 Fox 2024 Garansi Resmi,374.000,,,Kota Jakarta Pusat,Hp,Nokia,Bliblii
Nokia 105 LEDA 2023 Garansi Resmi,285.000,,,Kota Jakarta Pusat,Hp,Nokia,Bliblii
Nokia C21 Plus Ram 3GB Rom 32GB,999.000,,,,Hp,Nokia,Bliblii
Nokia C31 Ram 4GB Rom 64GB,1.039.000,5,Terjual 1,,Hp,Nokia,Bliblii
Nokia 110 (2024) Garansi Resmi,399.000,,Terjual 1,Kota Semarang,Hp,Nokia,Bliblii
Nokia 105 2022 Simba Garansi Resmi,259.000,,Terjual 2,Kota Bandung,Hp,Nokia,Bliblii
Nokia 105 (2023) HMD Garansi Resmi Indonesia,269.000,,Terjual 1,Kota Semarang,Hp,Nokia,Bliblii
Nokia 150 Frodo Music HMD Garansi Resmi Indonesia,499.000,5,Terjual 1,Kota Semarang,Hp,Nokia,Bliblii
Nokia 130 Frodo Music HMD Garansi Resmi Indonesia,419.000,,Terjual 1,Kota Semarang,Hp,Nokia,Bliblii
NOKIA 105 2023 GARANSI RESMI,244.000,5,Terjual 26,Kota Jakarta Pusat,Hp,Nokia,Bliblii
Nokia 110 - Hp Tombol New,350.000,,,,Hp,Nokia,Bliblii
Nokia 110,375.000,,Terjual 7,Kota Medan,Hp,Nokia,Bliblii
NOKIA 105 FOX 2024 GARANSI RESMI NOKIA 1 TAHUN,252.000,5,Terjual 1,Kota Jakarta Pusat,Hp,Nokia,Bliblii
nokia 105 garansi resmi,255.000,,,Kota Batam,Hp,Nokia,Bliblii
Nokia 105 DS TA- 1174,259.200,5,Terjual 58,,Hp,Nokia,Bliblii
Nokia 110 2024 [Garansi Resmi],399.000,,,Kota Denpasar,Hp,Nokia,Bliblii
[jikalaku] Nokia 110 2024 Garansi Resmi,327.000,,Terjual 1,Kota Jakarta Pusat & kota lainnya,Hp,Nokia,Bliblii
Nokia Frodo Basic 130 Garansi Resmi,449.000,,,Kota Pekanbaru,Hp,Nokia,Bliblii
[jikalaku] Nokia 130 Music HMD Garansi Resmi,396.900,,Terjual 5,Kota Jakarta Pusat & kota lainnya,Hp,Nokia,Bliblii
Nokia 130 Frodo Music - Garansi resmi,398.000,,,Kota Jakarta Pusat,Hp,Nokia,Bliblii
NOKIA 150 FRODO MUSIK SERIES GARANSI RESMI,466.000,,Terjual 1,Kota Jakarta Pusat,Hp,Nokia,Bliblii
NOKIA 110 Fox 2024 - Garansi Resmi,328.000,,,Kota Jakarta Pusat,Hp,Nokia,Bliblii
NOKIA 105 LEDA 2023 - Garansi Resmi Indonesia,241.088,,,Kota Jakarta Pusat,Hp,Nokia,Bliblii
NOKIA 130 Frodo Music HMD - Garansi Resmi,398.000,,,Kota Jakarta Pusat,Hp,Nokia,Bliblii
Nokia 105 2023 Dual Sim Garansi Resmi - Cyan,275.000,,,Kota Denpasar,Hp,Nokia,Bliblii
