nama_produk,harga,rating,jumlah_terjual,lokasi_penjual,kategori,brand,platform
Hp Samsung A07 Ram 4GB Internal 128GB Garansi Resmi,2.299.000,,Terjual 1,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung A07 Ram 6GB Internal 128GB Garansi Resmi,2.599.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung S25+ Ram 12GB Internal 256GB Garansi Resmi,17.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung S25 Ram 12GB Internal 256GB Garansi Resmi,14.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung Galaxy Z Fold 5 Ram 12GB Internal 256GB,24.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung Galaxy Z Fold 5 Ram 12GB Internal 512GB,26.999.000,,Terjual 2,Kota Pekanbaru,Hp,Samsung,Bliblii
SAMSUNG GALAXY A13,2.675.000,,,,Hp,Samsung,Bliblii
Samsung A03,1.000.000,,Terjual 2,,Hp,Samsung,Bliblii
Samsung A07 Sein,1.899.000,,,,Hp,Samsung,Bliblii
SAMSUNG GALAXY A13,2.500.000,,,,Hp,Samsung,Bliblii
Samsung A07 64GB,1.699.000,,,,Hp,Samsung,Bliblii
Hp Samsung A04e Ram 3GB Internal 64GB Garansi Resmi,1.399.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
HP Samsung Galaxy A23 5G 6/128GB Original Garansi Resmi,3.999.000,,Terjual 1,,Hp,Samsung,Bliblii
Hp Samsung Galaxy S23+ Ram 8GB Internal 512GB Garansi Resmi,15.799.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung S25 Ultra Ram 12GB Internal 1TB Garansi Resmi,28.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
HP Samsung Galaxy A03 3/32GB - 4/64GB Handphone,1.383.750,,Terjual 2,,Hp,Samsung,Bliblii
Samsung Galaxy A31 Smartphone,3.499.000,,Terjual 3,,Hp,Samsung,Bliblii
samsung galaxy A32 smartphone,3.599.000,,Terjual 18,,Hp,Samsung,Bliblii
Hp Samsung S24 FE Ram 8GB Internal 256GB Garansi Resmi,9.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung S24 Ultra Ram 12GB Internal 512GB Garansi Resmi,21.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung S23 ULTRA Ram 12GB Internal 1TB Garansi Resmi,22.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung Z Flip 5 Ram 8GB Internal 512GB Garansii Resmi,17.999.000,,Terjual 1,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung Z Fold 7 Ram 12GB Internal 512GB Garansi Resmi,31.499.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Samsung Galaxy A01 Smartphone,1.499.000,,Terjual 4,,Hp,Samsung,Bliblii
Samsung Galaxy A01 Smartphone,1.499.000,,,,Hp,Samsung,Bliblii
Samsung S25 Ultra new,20.999.000,,,,Hp,Samsung,Bliblii
Hp Samsung S23 FE Ram 8GB Internal 256GB Garansi Resmi,9.999.000,,Terjual 1,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung Galaxy S22+ Ram 8/128 GB dan 8/256 GB,13.168.000,,,,Hp,Samsung,Bliblii
HP SAMSUNG GALAXY FLIP 6 5G SM-F741 - GARANSI RESMI,17.499.000,,,,Hp,Samsung,Bliblii
Hp Samsung S24 Ultra Ram 12GB Internal 1TB Garansi Resmi,25.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp Samsung Z Flip 6 Ram 12GB Internal 256GB Garansi Resmi,15.999.000,,Terjual 1,Kota Pekanbaru,Hp,Samsung,Bliblii
Hp samsung Z Flip 7 Ram 12GB Internal 512GB Garansi Resmi,19.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Samsung Z Flip 7 new,17.999.000,,,,Hp,Samsung,Bliblii
"Hp Samsung Galaxy A33 5G 6/128 8/128 8/256 256 GB 6GB 8GB 128GB 256GB - Light Blue,8/128GB",6.889.000,,,,Hp,Samsung,Bliblii
INFINIX XPOWER 10 10.000 MAH NEW GARANSI RESMI,149.000,5,Terjual 1,Kota Medan,Hp,Samsung,Bliblii
IQOO 15 16/512 & 16/1TB NEW GARANSI RESMI,13.899.000,,,Kota Medan,Hp,Samsung,Bliblii
