web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller,category,brand,condition,sold_text,sold_num
1774666271-41,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix,https://www.tokopedia.com/drcomkomputer/laptop-axioo-mybook-slimbook-14f-celeron-n4020-6-256g-layar-2k-super-jernih-1731529596595176614?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch,"Laptop Axioo Mybook/Slimbook 14F, Celeron-N4020, 6/256G, Layar 2K, Super Jernih",19000000.0,50.0,16 rating â¢ 13 ulasan,Terjual 28,DrCom_NEW,Laptop,Infinix,Bekas,Terjual 28,28
1774666277-42,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix,https://www.tokopedia.com/mrhanzo/hp-elitebook-830-g8-core-i5-gen-11-16gb-ssd-1tb-13inc-touchscreen-1733025253654496435?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch,Hp elitebook  830 G8 core i5 gen 11 | 16GB | SSD 1TB | 13inc Touchscreen - SSD 256GB,55000000.0,50.0,1 rating â¢ 1 ulasan,Terjual 7,MrHanzo,Laptop,Infinix,Bekas,Terjual 7,7
1774666283-43,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix,https://www.tokopedia.com/gugellaptop/hp-elitebook-845-g8-hp-elitebook-835-g8-hp-elitebook-845-g7-hp-elitebook-835-g7-hp-835-845-g7-g8-hp-845-835-1731893705713485090?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch,"HP EliteBook 845 G8 / HP Elitebook 835 G8 / HP Elitebook 845 G7 / HP elitebook 835 G7 / HP 835 845 G7 G8 / HP 845 835 - 845 G7 / R5 PRO 4650U, 16GB / 256GB",42000000.0,50.0,32 rating â¢ 19 ulasan,Terjual 100+,Gugel Laptop,Laptop,Infinix,Bekas,Terjual 100+,100
1774666289-44,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix,https://www.tokopedia.com/us-electronic/laptop-hp-elitebook-840-g8-core-i5-11th-ram-32gb-ssd-1tb-14-1729888907439015041-1734643555729507457?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch,"LAPTOP HP EliteBook 840 G8 Core i5 11TH RAM 32GB / SSD 1TB 14"" - 8gb/256 ssd, 840 g6 I5 8TH",33500000.0,49.0,148 rating â¢ 71 ulasan,Terjual 250+,US ELECTRONIC,Laptop,Infinix,Bekas,Terjual 250+,250
1774666296-45,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix,https://www.tokopedia.com/mjc-store-mentari-jaya/infinix-x1-intel-core-i3-gen-10?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch,infinix x1 intel core i3 gen 10,36000000.0,50.0,1 rating â¢ 1 ulasan,Terjual 1,MJC STORE MENTARI JAYA,Laptop,Infinix,Bekas,Terjual 1,1
1774666302-46,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix,https://www.tokopedia.com/jajananlaptop/google-pixelbook-12-i7-7y75-16gb-512gb-pixel-book-chomebook-os-chromebook-1731514200210376599?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch,Google Pixelbook 12 i7 7Y75 16GB 512GB / pixel book chomebook OS / chromebook - Non Touchscreen,28000000.0,50.0,37 rating â¢ 14 ulasan,Terjual 80+,Jajanan Laptop,Laptop,Infinix,Bekas,Terjual 80+,80
1774666308-47,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix,https://www.tokopedia.com/hippyshop-1/infinix?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch,infinix,8000000.0,0.0,0 rating • 0 ulasan,Terjual 0,HippyShop_NEW,Laptop,Infinix,Bekas,Terjual 0,0
1774666314-48,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix,https://www.tokopedia.com/redstarelectronic/lenovo-thinkpad-t480s-core-i7-8650u-24gb-ram-512gb-nvme-ssd-tc-full-hd-windows-11-1729822537494135859?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch,"Lenovo ThinkPad T480s Core i7-8650U 24GB RAM 512GB NVMe SSD TC FULL HD//WINDOWS 11 - T460 I5 6TH, 8GB/256GB SSD",27000000.0,48.0,545 rating â¢ 262 ulasan,Terjual 1 rb+,RedStar Electronic,Laptop,Infinix,Bekas,Terjual 1 rb+,1000
1774666320-49,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix,https://www.tokopedia.com/wdcomputer/fujitsu-lifebook-u938-spesial-japan-edition-laptop-ultra-slim-intel-core-i7-gen-8-ram-8gb-ssd-256gb-layar-13-3-full-hd-ips-garansi-30-hari-bonus-tas-dan-mouse-1733422695249577154?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch,"Fujitsu Lifebook U938 Spesial Japan Edition Laptop Ultra Slim Intel Core i7 Gen 8 RAM 8GB SSD 256GB Layar 13.3"" Full HD IPS Garansi 30 Hari Bonus Tas dan Mouse - Fujitsu U937 Core I5 Gen 7 Ram 4 Gb, No Ssd",22400000.0,50.0,52 rating â¢ 32 ulasan,Terjual 100+,WD.COMPUTER,Laptop,Infinix,Bekas,Terjual 100+,100
1774666326-50,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=laptop%20infinix,https://www.tokopedia.com/zr-phone/infinix-gt-30-pro-ram-8-256-12-512-second-resmi-like-new-fullset-original-1734412228172481691?extParam=ivf%3Dfalse%26keyword%3Dlaptop+infinix%26search_id%3D20260328024631EDDEA82AD2755B085EWC%26src%3Dsearch,Infinix gt 30 pro ram 8/256||12/512 second resmi like new fullset original - 12/512,41990000.0,50.0,5 rating â¢ 2 ulasan,Terjual 10,Zr phone,Laptop,Infinix,Bekas,Terjual 10,10
