web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller,category,brand,condition,sold_text,sold_num
1774636810-153,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo,https://www.tokopedia.com/rayyandunia/termurah-oppo-reno-10pro-5g-ram-12-256-gb-resmi-indonesia-second-gadgetmu-1732862182742984474?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch,TERMURAH Oppo Reno 10Pro 5G Ram 12/256 Gb Resmi Indonesia Second Gadgetmu,31750000,0,0 rating • 0 ulasan,6 barang berhasil terjual,Rayyan Dunia Gadgetmu Idn,Hp,Oppo,Bekas,Terjual 6,6
1774636815-154,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo,https://www.tokopedia.com/ziyadcellular/oppo-a6-pro-4g-8-128gb-like-new-8-128-gb-1731923430445843786?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch,Oppo A6 Pro 4G 8/128GB Like New - 8/128 GB,30400000,0,0 rating • 0 ulasan,1 barang berhasil terjual,SAXO CELL,Hp,Oppo,Bekas,Terjual 1,1
1774636820-155,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo,https://www.tokopedia.com/yeyeestore/hp-a3s-smartphone-ram-6-128gb-handphone-1732844798310647694?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch,hp a3s smartphone ram 6/128gb handphone,53913000,0,0 rating • 0 ulasan,50+ barang berhasil terjual,yeyeestore,Hp,Oppo,Bekas,Terjual 50+,50
1774636825-156,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo,https://www.tokopedia.com/officialts/oppo-find-n3-flip-12-256-gb-garansi-resmi-fullset?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch,Oppo Find N3 Flip 12/256 GB Garansi Resmi Fullset,80990000,5.0,5 rating • 4 ulasan,Terjual 6,Toko Sedulur Official,Hp,Oppo,Bekas,Terjual 6,6
1774636830-157,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo,https://www.tokopedia.com/truevinestore/oppo-find-x5-pro-5g-12-256-black-ex-resmi-perfect-12gb-256gb-1731360258825816003?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch,Oppo Find X5 Pro 5G 12/256 Black Ex Resmi Perfect 12GB 256GB,47100000,5.0,1 rating • 1 ulasan,Terjual 1,True Vine Store,Hp,Oppo,Bekas,Terjual 1,1
1774636835-158,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo,https://www.tokopedia.com/trizaolshop/oppo-reno-4-ram-8gb-internal-128gb-1732371886592526061?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch,OPPO RENO 4 RAM 8GB INTERNAL 128GB,8500000,0,0 rating • 0 ulasan,1 barang berhasil terjual,Triza online shop,Hp,Oppo,Bekas,Terjual 1,1
1774636841-159,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo,https://www.tokopedia.com/athens-cell/second-oppo-a5-pro-lte-8-8-256gb-1733596361471788051?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch,SECOND OPPO A5 PRO LTE 8+8/256GB,25000000,0,0 rating • 0 ulasan,Terjual 0,Athen's Cell,Hp,Oppo,Bekas,Terjual 0,0
1774636846-160,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo,https://www.tokopedia.com/fauzancell03/oppo-a53-ram-4-64gb-batangan-1731835472922642273?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch,oppo a53 ram 4/64gb batangan,4000000,0,0 rating • 0 ulasan,Terjual 0,fauzancell03,Hp,Oppo,Bekas,Terjual 0,0
1774636851-161,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo,https://www.tokopedia.com/aastore99/oppo-a78-5g-fullset-ram-8-128gb-like-new-1731276186619250030?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch,Oppo A78 5G fullset ram 8/128GB like new !!,9200000,0,0 rating • 0 ulasan,4 barang berhasil terjual,aa store bekasi_NEW,Hp,Oppo,Bekas,Terjual 4,4
1774636856-162,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo,https://www.tokopedia.com/fastgadget/oppo-reno-8-8-256gb-garansi-resmi-sein-1731128213474019154?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch,Oppo Reno 8 8/256GB Garansi resmi SEIN,21500000,5.0,1 rating • 0 ulasan,Terjual 8,FAST GADGET OFFICIAL,Hp,Oppo,Bekas,Terjual 8,8
1774636861-163,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo,https://www.tokopedia.com/jayaphonelamongan/oppo-a6x-6-128-pemakaian-1-minggu-garansi-desember-2026-mulus-99-1733875313797399862?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch,Oppo A6x 6/128 Pemakaian 1 Bulan Garansi Desember 2026,25490000,0,0 rating • 0 ulasan,Terjual 0,JAYA PHONE LAMONGAN,Hp,Oppo,Bekas,Terjual 0,0
1774636866-164,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo,https://www.tokopedia.com/leonabadiperkasa/hp-opho-a60-8-256gb-garansi-resmi?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch,hp opho a60 8/256gb garansi resmi,25660000,5.0,1 rating • 0 ulasan,Terjual 13,Leon abadi perkasa,Hp,Oppo,Bekas,Terjual 13,13
1774636871-165,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo,https://www.tokopedia.com/zalstore25/oppo-find-x8-pro-16-512gb-fullset-second-no-minus-1730905364250723739?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch,Oppo Find X8 Pro 16/512GB Fullset Second No Minus,125000000,5.0,9 rating • 7 ulasan,Terjual 14,ZalStore25,Hp,Oppo,Bekas,Terjual 14,14
1774636876-166,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo,https://www.tokopedia.com/aastore99/oppo-a31-ram-6-128gb-fullset-mulus-like-new?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch,OPPO A31 ram 6/128GB fullset mulus LIKE NEW,5700000,5.0,1 rating • 0 ulasan,Terjual 8,aa store bekasi_NEW,Hp,Oppo,Bekas,Terjual 8,8
1774636881-167,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo,https://www.tokopedia.com/supersupercell/oppo-a74-5g-6-128-second-fullset-likenew-grade-b?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch,OPPO A74 5G 6/128 SECOND FULLSET LIKENEW - GRADE B,13000000,5.0,13 rating • 0 ulasan,Terjual 22,supersupercell,Hp,Oppo,Bekas,Terjual 22,22
1774636886-168,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo,https://www.tokopedia.com/fitriolshop872/oppo-reno-5-5g-8-128-1732038492597880262?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch,OPPO RENO 5 5G 8/128! ! ! !,40000000,5.0,13 rating • 7 ulasan,Terjual 27,Rayyanolshope,Hp,Oppo,Bekas,Terjual 27,27
1774636891-169,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo,https://www.tokopedia.com/tanjungcell/opppo-reno-8t-8-256-mulus-nominus-1732302657482360211?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch,opppo reno 8T 8/256 Mulus nominus,17500000,0,0 rating • 0 ulasan,1 barang berhasil terjual,Tanjung cell,Hp,Oppo,Bekas,Terjual 1,1
1774636896-170,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo,https://www.tokopedia.com/sevvancell/oppo-reno-10-5g-ram-8-256-gb-grade-e-1d3d2?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch,Oppo Reno 10 5G Ram 8/256 GB - Grade E,24000000,4.7,47 rating • 9 ulasan,Terjual 100+,Sevvancell,Hp,Oppo,Bekas,Terjual 100+,100
1774636901-171,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo,https://www.tokopedia.com/lion-celuller-99/oppo-a3s-ram-6-128gb-new-fullset-garansi-12-bulan-bisa-cod-1734142934188262613?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch,OPPO A3S RAM 6/128GB NEW FULLSET GARANSI 12 BULAN BISA COD - Black,6590000,4.7,15 rating • 6 ulasan,Terjual 50+,LION CELULLER 99,Hp,Oppo,Bekas,Terjual 50+,50
1774636906-172,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo,https://www.tokopedia.com/didoalfarezi/hp-oppo-a9-2020-8-128gb-fullset-mulus-vanila-mint?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch,hp Oppo A9 2020 8/128GB fullset mulus vanila mint,12500000,4.8,21 rating • 2 ulasan,Terjual 90+,pho pho cell,Hp,Oppo,Bekas,Terjual 90+,90
1774636911-173,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo,https://www.tokopedia.com/tokomisterbb/oppo-reno-4f-ram-8gb-internal128gb-original-murah-1731405248162662378?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch,oppo Reno 4F Ram 8GB Internal128GB original Murah,9250000,0,0 rating • 0 ulasan,Terjual 0,Toko MisterBB,Hp,Oppo,Bekas,Terjual 0,0
1774636916-174,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo,https://www.tokopedia.com/gadget-pin-store/oppo-a6x-6-128gb-second-resmi-1729928991990056272?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch,Oppo A6x 6/128GB Second Resmi,27990000,5.0,1 rating • 0 ulasan,Terjual 1,Gadget Pin Store,Hp,Oppo,Bekas,Terjual 1,1
1774636921-175,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo,https://www.tokopedia.com/kkshopblp/oppo-a16-5g-pro-256gb-7000-mah-baterai-80w-supervoc-layar-amoled-6-57-ultra-cerah-120hz-sistem-vc-supercool-ip69-tahan-air-garansi-nasional-1733441139057067479?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch,OPPO A16 5G PRO 256GB 7000 maH Baterai 80W Supervoc Layar AMOLED 6.57 Ultra Cerah 120Hz Sistem VC SuperCool IP69 Tahan Air Garansi Nasional,25000000,5.0,2 rating • 0 ulasan,Terjual 2,kkshopblp,Hp,Oppo,Bekas,Terjual 2,2
1774636926-176,https://www.tokopedia.com/search?condition=2&navsource=home%2Chome&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20oppo,https://www.tokopedia.com/ziyadcellular/oppo-a6-6-128gb-like-new-perfect-0471-biru-6-128-gb-1731511841889551690?extParam=ivf%3Dfalse%26keyword%3Dhp+oppo%26search_id%3D2026032718264340008B9A5380FC3BAE3Q%26src%3Dsearch,Oppo A6 6/128GB Like New Perfect (0471 Biru) - 6/128 GB,24300000,0,0 rating • 0 ulasan,3 barang berhasil terjual,SAXO CELL,Hp,Oppo,Bekas,Terjual 3,3
1774593451-1,https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco,https://www.tokopedia.com/4nginmalam/poco-f7-smartphone-terbaru-dengan-kualitas-terbaik-1733504494973781847-1734681140544112471?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D2026032706365563923F49E52413173HPS%26src%3Dsearch,POCO F7 - Smartphone Terbaru dengan Kualitas Terbaik - F7,69990000,5.0,115 rating • 4 ulasan,Terjual 250+,4nginmalam,Hp,Poco,Baru,Terjual 250+,250
1774593456-2,https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco,https://www.tokopedia.com/knpicellular/poco-c71-4-128-gb-garansi-resmi-1733270930172642443?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D2026032706365563923F49E52413173HPS%26src%3Dsearch,"Poco C71 4/128 GB Garansi Resmi - Ramdom, 128",15500000,0,0 rating • 0 ulasan,1 barang berhasil terjual,KNPI Cellular,Hp,Poco,Baru,Terjual 1,1
1774593463-3,https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco,https://www.tokopedia.com/gadget-pin-store/xiaomi-poco-c75-6-128gb-8-256gb-baru-garansi-resmi-6-128gb-a0901?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D2026032706365563923F49E52413173HPS%26src%3Dsearch,Xiaomi Poco C75 6/128GB & 8/256GB Baru Garansi Resmi - 6/128GB,18100000,5.0,1 rating • 0 ulasan,Terjual 2,Gadget Pin Store,Hp,Poco,Baru,Terjual 2,2
1774593468-4,https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco,https://www.tokopedia.com/terafone/xiaomi-poco-c65-ram-8-256-gb-garansi-resmi-termurah-hitam-1347a?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D2026032706365563923F49E52413173HPS%26src%3Dsearch,XIAOMI POCO C65 RAM 8/256 GB GARANSI RESMI TERMURAH - Hitam,17250000,0,0 rating • 0 ulasan,1 barang berhasil terjual,TERAFONE,Hp,Poco,Baru,Terjual 1,1
1774593473-5,https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco,https://www.tokopedia.com/mutiaraflasher/xiaomi-poco-c75-ram-6-128gb-ram-8-256gb-1731005789961750225?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D2026032706365563923F49E52413173HPS%26src%3Dsearch,Xiaomi Poco C75 Ram 6/128GB | Ram 8/256GB - 6/128GB,13990000,5.0,3 rating • 1 ulasan,Terjual 22,Tiga Mutiara Store,Hp,Poco,Baru,Terjual 22,22
1774593478-6,https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco,https://www.tokopedia.com/kebahauan-store/h-p-xiaomi-poco-c75-8-256gb-nfc-ori-resmi-layar-6-88-50mp-al-refresh-rate-120-hz-1731463141288085237?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D2026032706365563923F49E52413173HPS%26src%3Dsearch,"H+p Xiaomi Poco C75 8/256GB NFC Ori Resmi | Layar 6,88"" | 50MP Al| Refresh Rate 120 Hz | - silver",11960000,0,0 rating • 0 ulasan,Terjual 0,KEBAHAUAN STORE,Hp,Poco,Baru,Terjual 0,0
1774593483-7,https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco,https://www.tokopedia.com/agres-id-serang/xiaomi-poco-m5-8gb-256gb-black-garansi-resmi?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D2026032706365563923F49E52413173HPS%26src%3Dsearch,Xiaomi Poco M5 8Gb 256Gb Black Garansi Resmi,23790000,0,0 rating • 0 ulasan,Terjual 0,Agres ID Serang,Hp,Poco,Baru,Terjual 0,0
1774593488-8,https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco,https://www.tokopedia.com/sar-la/poco-c71-4-128-gb-garansi-resmi-1733525012180600784?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D2026032706365563923F49E52413173HPS%26src%3Dsearch,"Poco C71 4/128 GB Garansi Resmi - RANDOM, 4/128",16000000,5.0,16 rating • 3 ulasan,Terjual 50+,TOKO NEGOO_NEW,Hp,Poco,Baru,Terjual 50+,50
1774593494-9,https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco,https://www.tokopedia.com/mihran-cell/poco-c71-4-128-kondisi-baru-1734043536463791568?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D2026032706365563923F49E52413173HPS%26src%3Dsearch,Poco C71 4/128 kondisi baru,14750000,0,0 rating • 0 ulasan,5 barang berhasil terjual,Mihran cell_NEW,Hp,Poco,Baru,Terjual 5,5
1774593499-10,https://www.tokopedia.com/search?condition=1&navsource=home%2Chome&sc=24&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=hp%20poco,https://www.tokopedia.com/farcell14/poco-m6-8-256-garansi-resmi-xiaomi-15-bulan-no-repack-silver-fa0ee?extParam=ivf%3Dfalse%26keyword%3Dhp+poco%26search_id%3D2026032706365563923F49E52413173HPS%26src%3Dsearch,POCO M6 8/256 GARANSI RESMI XIAOMI 15 BULAN NO REPACK - SILVER,19990000,5.0,8 rating • 2 ulasan,Terjual 18,Togahbangunkarya,Hp,Poco,Baru,Terjual 18,18
