web_scraper_order,web_scraper_start_url,detail produk,detail produk-href,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
1777981375-21,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,"22%[L104] HappyGSR Laptop Hybrid 2in1 RAM 4GB Intel Core SSD 64+128GB Layar Sentuh 10,1inRp2.099.045Rp2.700.000Hemat s.d  1% Pakai Bonus4.6100+ terjualHappyGSR_NEWJakarta Barat",https://www.tokopedia.com/happygsr/l104-happygsr-laptop-hybrid-2in1-ram-4gb-intel-core-ssd-64-128gb-layar-sentuh-10-1in-1733657231897560966?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,"[L104] HappyGSR Laptop Hybrid 2in1 RAM 4GB Intel Core SSD 64+128GB Layar Sentuh 10,1in - LNVO-RAM 4GB SSD 190GB",Rp2.099.045,4.6,Terjual 100+,Kota Administrasi Jakarta Barat,HappyGSR_NEW
1777981380-22,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,20%MSI MODERN 14 I3 1315U 8GB 512GB  14.0FHD BLIT IPS 2Y W11Rp8.449.000Rp10.499.000Hemat s.d  1% Pakai Bonus5.0750+ terjualMSI Official StoreJakarta Pusat,https://www.tokopedia.com/msi-official-store/msi-modern-14-i3-1315u-8gb-512gb-14-0fhd-blit-ips-2y-w11-1731092587246290733-1735344757374289709?extParam=ivf%3Dtrue%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,MSI MODERN 14 I3 1315U 8GB 512GB  14.0FHD BLIT IPS 2Y W11 - FLASHSALE GREY,Rp8.449.000,5.0,Terjual 750+,Kota Administrasi Jakarta Pusat,MSI Official Store
1777981385-23,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,"Advan WorkMate Ryzen 5 3500U 8GB 256GB W11 14"" WUXGA IPSRp5.999.000Hemat s.d  1% Pakai Bonus1 terjualAMD Official StoreJakarta Utara",https://www.tokopedia.com/amd-id/advan-workmate-ryzen-5-3500u-8gb-256gb-w11-14-wuxga-ips-1732107289297716603?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch%26whid%3D79275,"Advan WorkMate Ryzen 5 3500U 8GB 256GB W11 14"" WUXGA IPS - Grey (8GB / 256GB), Standard",Rp5.999.000,,1 barang berhasil terjual,Kota Administrasi Jakarta Utara,AMD Official Store
1777981390-24,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,18%ADVAN Laptop | Soulmate X 14” IPS FHD AMD 3020e 8GB/128GB Win11Rp3.699.000Rp4.499.000Hemat s.d  1% Pakai Bonus5.080+ terjualADVAN BY URBANLIFEJakarta Selatan,https://www.tokopedia.com/advan-by-urbanlife/advan-laptop-soulmate-x-14-ips-fhd-amd-3020e-8gb-128gb-win11-1733934541204981583?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,ADVAN Laptop | Soulmate X 14” IPS FHD AMD 3020e 8GB/128GB Win11 - White,Rp3.699.000,5.0,Terjual 80+,Kota Administrasi Jakarta Selatan,ADVAN BY URBANLIFE
1777981395-25,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,38%LAPTOP X390-X395 intel Gen 8 dan Ryzen 5PRO  RAM 8GB-16GB SSD 256GB-512GB  Layar 13 inci Windows 11 Pro  Mulus Berkualitas Bergaransi Murah untuk Pelajar SekolahRp3.299.000Rp5.299.000Hemat s.d  1% Pakai Bonus4.9100+ terjualANDALAN LAPTOP.IDJakarta Barat,https://www.tokopedia.com/andalan-laptopid/laptop-x390-x395-intel-gen-8-dan-ryzen-5pro-ram-8gb-16gb-ssd-256gb-512gb-layar-13-inci-windows-11-pro-mulus-berkualitas-bergaransi-murah-untuk-pelajar-sekolah-1731687718091261562-1735429406419945082?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,"LAPTOP X390-X395 intel Gen 8 dan Ryzen 5PRO  RAM 8GB-16GB SSD 256GB-512GB  Layar 13 inci Windows 11 Pro  Mulus Berkualitas Bergaransi Murah untuk Pelajar Sekolah - x390 i3 Gen 8, RAM 8GB | SSD 128GB",Rp3.299.000,4.9,Terjual 100+,Kota Administrasi Jakarta Barat,ANDALAN LAPTOP.ID
1777981400-26,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,HP 14 i3-1315U 512GB SSD 8GB FHD Win11+OHS - ep0260TU/ep0261TURp8.099.000Rp8.999.000Hemat s.d  1% Pakai Bonus5.0250+ terjualSinarmulia Sukses MakmurJakarta Barat,https://www.tokopedia.com/sinarmulia/hp-14-i3-1315u-512gb-ssd-8gb-fhd-win11-ohs-ep0260tu-ep0261tu-1734400824955537183?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,"HP 14 i3-1315U 512GB SSD 8GB FHD Win11+OHS - ep0260TU/ep0261TU - GOLD 8GB, TANPA_ANTIGORES",Rp8.099.000,5.0,Terjual 250+,Kota Administrasi Jakarta Barat,Sinarmulia Sukses Makmur
1777981405-27,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,"15.6"" Slim Gaming Laptop Intel N95 GTX1060 Keyboard Backlight Portable Laptops notbook computer pc Windows 11 cheap price dealsRp1.372.000Hemat s.d  1% Pakai Bonus11 terjualElang Bumi OfficialJakarta Timur",https://www.tokopedia.com/ebumi-1/15-6-slim-gaming-laptop-intel-n95-gtx1060-keyboard-backlight-portable-laptops-notbook-computer-pc-windows-11-cheap-price-deals-1732732444575172454?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,"15.6"" Slim Gaming Laptop Intel N95 GTX1060 Keyboard Backlight Portable Laptops notbook computer pc Windows 11 cheap price deals",Rp1.372.000,,11 barang berhasil terjual,Kota Administrasi Jakarta Timur,Elang Bumi Official
1777981410-28,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,"13%AXIOO HYPE 10 N4020 8GB 256GB DOS/W11 14.0""Rp4.549.000Rp5.199.000Hemat s.d  1% Pakai Bonus4.9100+ terjualAGRES IDJakarta Utara",https://www.tokopedia.com/agresid/axioo-hype-10-n4020-8gb-256gb-dos-w11-14-0-1730010745967248451?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,"AXIOO HYPE 10 N4020 8GB 256GB DOS/W11 14.0"" - Non Bundle, DOS",Rp4.549.000,4.9,Terjual 100+,Kota Administrasi Jakarta Utara,AGRES ID
1777981416-29,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,48%LAPTOP X260-X280 intel core i7 Gen 8 RAM 8GB/16GB SSD 256GB/512GB  Layar 12 inci Windows 11 Pro  Mulus Berkualitas Bergaransi Murah untuk Pelajar SekolahRp2.199.000Rp4.199.000Hemat s.d  1% Pakai Bonus4.9100+ terjualANDALAN LAPTOP.IDJakarta Barat,https://www.tokopedia.com/andalan-laptopid/laptop-x260-x280-intel-core-i7-gen-8-ram-8gb-16gb-ssd-256gb-512gb-layar-12-inci-windows-11-pro-mulus-berkualitas-bergaransi-murah-untuk-pelajar-sekolah-1731698311105709690-1734987062391965306?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,"LAPTOP X260-X280 intel core i7 Gen 8 RAM 8GB/16GB SSD 256GB/512GB  Layar 12 inci Windows 11 Pro  Mulus Berkualitas Bergaransi Murah untuk Pelajar Sekolah - X260 i3 Gen 6, RAM 8GB | HDD 500GB",Rp2.199.000,4.9,Terjual 100+,Kota Administrasi Jakarta Barat,ANDALAN LAPTOP.ID
1777981421-30,https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20zyrex,AXIOO MYBOOK HYPE 10 - N4020 8GB 256GB DOS WINDOWS 14 HD 1YEARRp4.799.000Hemat s.d  1% Pakai Bonus4.980+ terjualDIGITAL ZONE_NEWJakarta Pusat,https://www.tokopedia.com/digitalzone/axioo-mybook-hype-10-n4020-8gb-256gb-dos-windows-14-hd-1year-1733264873075803516?extParam=ivf%3Dfalse%26keyword%3Dlaptop+zyrex%26search_id%3D202605051140346FAA8040DA20EF1612LV%26src%3Dsearch,"AXIOO MYBOOK HYPE 10 - N4020 8GB 256GB DOS WINDOWS 14 HD 1YEAR - 8/256GB, DOS",Rp4.799.000,4.9,Terjual 80+,Kota Administrasi Jakarta Pusat,DIGITAL ZONE_NEW
