web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,detail produk,nama toko
"1778265444-1131","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","Laptop Lenovo Thinkpad T450 E450 Core i5/i7 GEN 5|RAM 8GB|14""|SSD 256GB - E450 I5GEN5, RAM4GB SSD128","Rp1.900.000","4.9","Terjual 100+","Kota Administrasi Jakarta Utara","https://www.tokopedia.com/aslapt/laptop-lenovo-thinkpad-t450-e450-core-i5-i7-gen-5-ram-8gb-14-ssd-256gb-1734209811143820587?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260508183053EF0D3930A7B6C904526J%26src%3Dsearch","As Laptop"
"1778265449-1132","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","Laptop Lenovo Thinkpad T490 / T490s Core i5/i7 Gen 8 - Layar 14"" inch - T490S I5GEN8 TS, RAM 8 SSD 128","Rp3.300.000","4.9","Terjual 100+","Kota Administrasi Jakarta Utara","https://www.tokopedia.com/kaitocorner/laptop-lenovo-thinkpad-t490-t490s-core-i5-i7-gen-8-layar-14-inch-1731380967226050323?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260508183053EF0D3930A7B6C904526J%26src%3Dsearch","Kaito's Corner"
"1778265454-1133","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","Laptop Lenovo Thinkpad X1 Carbon Core i5 Gen6 8GB/512GB SSD FREE MOUSE - X1 CARBON 4 i7-6, 8GB/256GB","Rp3.200.000","4.9","Terjual 90+","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/starjayaelectronic/laptop-lenovo-thinkpad-x1-carbon-core-i5-gen6-8gb-512gb-ssd-free-mouse-1734568308537264043?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260508183053EF0D3930A7B6C904526J%26src%3Dsearch","STAR JAYA ELECTRONIC"
"1778265459-1134","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","Laptop Lenovo Thinpad X270 Intel Core i7 / i5 Gen 6th Ram 8Gb SSD 256Gb Full Garansi - X270 i5/6, RAM 4 SSD 128","Rp2.600.000","5","Terjual 60+","Kota Bandung","https://www.tokopedia.com/daciacomp/laptop-lenovo-thinpad-x270-intel-core-i7-i5-gen-6th-ram-8gb-ssd-256gb-full-garansi-1731727727213511760?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260508183053EF0D3930A7B6C904526J%26src%3Dsearch","Dacia Jaya Computer"
"1778265464-1135","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","Laptop Lenovo - 2GB, 500GB","Rp1.400.000","5","Terjual 3","Kota Administrasi Jakarta Utara","https://www.tokopedia.com/twentycell/laptop-lenovo-2gb-500gb-9683b?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260508183053EF0D3930A7B6C904526J%26src%3Dsearch","Twenty Cell - Laptop Bekas"
"1778265469-1136","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","thinkpad T480 T490 / Thinkpad T490 / Thinkpad T480 - T480 ~ i7-8th, 8GB ~ 128GB","Rp3.800.000","4.9","Terjual 250+","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/tricom-tech/thinkpad-t480-t490-thinkpad-t490-thinkpad-t480-1731905990345328377?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260508183053EF0D3930A7B6C904526J%26src%3Dsearch","Tricom Tech"
"1778265474-1137","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","Lenovo Thinkpad X270 Touchscreen Core i5 Gen6 8/256GB Ultrabook Mulus - X390 i5 Gen8, RAM 8/256GB SSD","Rp3.450.000","4.8","Terjual 60+","Kota Surabaya","https://www.tokopedia.com/electrocomsby/lenovo-thinkpad-x270-touchscreen-core-i5-gen6-8-256gb-ultrabook-mulus-1732630302173005133?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260508183053EF0D3930A7B6C904526J%26src%3Dsearch","ElectrocomSBY"
"1778265479-1138","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","Lenovo ThinkPad X270, Laptop dengan Desain Khas Lenovo dan Tampilan Layar Menakjubkan","Rp2.700.000","","6 barang berhasil terjual","Kab. Bantul","https://www.tokopedia.com/basmalastore-/lenovo-thinkpad-x270-laptop-dengan-desain-khas-lenovo-dan-tampilan-layar-menakjubkan-1732282389919138936?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260508183053EF0D3930A7B6C904526J%26src%3Dsearch","Basmala Media"
"1778265484-1139","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","Laptop RAM 4GB Lenovo Black - Laptop Bekas Second Seken RAM 4GB - 2GB, 500GB","Rp1.400.000","5","Terjual 16","Kota Administrasi Jakarta Utara","https://www.tokopedia.com/twentycell/laptop-ram-4gb-lenovo-black-laptop-bekas-second-seken-ram-4gb-2gb-500gb-422ab?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260508183053EF0D3930A7B6C904526J%26src%3Dsearch","Twenty Cell - Laptop Bekas"
"1778265489-1140","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20lenovo","laptop lenovo murah mulus normal semua siap pakai siap zoom - 4GB","Rp1.000.000","4.8","Terjual 7","Kab. Gresik","https://www.tokopedia.com/shop-live/laptop-lenovo-murah-mulus-normal-semua-siap-pakai-siap-zoom-4gb-4cfe3?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D20260508183053EF0D3930A7B6C904526J%26src%3Dsearch","Main land"
