web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,detail produk,nama toko
"1777476288-330","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20xiaomi","Xiaomi Redmibook Pro 14 512 GB Space Grey","Rp11.700.000","","","Kab. Bekasi","https://www.tokopedia.com/ch23nd/xiaomi-redmibook-pro-14-512-gb-space-grey-1730836854501312038?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi%26search_id%3D20260429151420577BCC914F9E55381FVU%26src%3Dsearch","Ch23nd Store"
"1777476292-331","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20xiaomi","Xiaomi Redmi Book Pro 14 i7 Gen 12 8/512 GB","Rp11.800.000","","","Kab. Bekasi","https://www.tokopedia.com/ch23nd/xiaomi-redmi-book-pro-14-i7-gen-12-8-512-gb-1730828243366676006?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi%26search_id%3D20260429151420577BCC914F9E55381FVU%26src%3Dsearch","Ch23nd Store"
"1777476295-332","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20xiaomi","Xiaomi Mi Notebook air 13.3 Like Macbook","Rp0","","","","https://www.tokopedia.com/donirafael/xiaomi-mi-notebook-air-13-3-like-macbook?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi%26search_id%3D20260429151420577BCC914F9E55381FVU%26src%3Dsearch","ProudIT"
"1777476299-333","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20xiaomi","Laptop Xiaomi RedmiBook 14II AMD Ryzen 5 4500U Ram 16Gb Ssd 512Gb SCU15101","Rp6.142.500","","","Kota Malang","https://www.tokopedia.com/javasolution/laptop-xiaomi-redmibook-14ii-amd-ryzen-5-4500u-ram-16gb-ssd-512gb-scu15101-1730851645273245487?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi%26search_id%3D20260429151420577BCC914F9E55381FVU%26src%3Dsearch","Java solution laptop"
"1777476302-334","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20xiaomi","Laptop XIAOMI Redmi Book 15 Layar 15.6 inch FHD Intel Core i3-1115G4 Baterai Besar 46Whr Windows 10, Lengkap, Navy Blue","Rp4.000.000","","2 barang berhasil terjual","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/campals/laptop-xiaomi-redmi-book-15-layar-15-6-inch-fhd-intel-core-i3-1115g4-baterai-besar-46whr-windows-10-lengkap-navy-blue-1731503006554293891?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi%26search_id%3D20260429151420577BCC914F9E55381FVU%26src%3Dsearch","Camp.ALS"
"1777476306-335","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20xiaomi","Laptop Xiaomi RedmiBook 15 Intel core i3-1115G4 RAM 8GB SSD 512GB","Rp3.850.000","","","Kota Bandung","https://www.tokopedia.com/simanisstorelaptop/laptop-xiaomi-redmibook-15-intel-core-i3-1115g4-ram-8gb-ssd-512gb-1732531608274765727?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi%26search_id%3D20260429151420577BCC914F9E55381FVU%26src%3Dsearch","Simanis store laptop"
"1777476309-336","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20xiaomi","Laptop Mi Pro Xiaomi spek dewa","Rp3.500.000","","1 barang berhasil terjual","Kota Administrasi Jakarta Timur","https://www.tokopedia.com/vicasik/laptop-mi-pro-xiaomi-spek-dewa?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi%26search_id%3D20260429151420577BCC914F9E55381FVU%26src%3Dsearch","Jual Beli Asik Bersama"
"1777476313-337","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20xiaomi","Laptop Xiaomi RedmiBook 15 – Intel Core i3-1115G4, RAM 8GB, SSD 256GB, 15.6” Full HD, Intel UHD Graphics, Windows 11 Pro","Rp3.500.000","","","Kota Depok","https://www.tokopedia.com/midss/laptop-xiaomi-redmibook-15-intel-core-i3-1115g4-ram-8gb-ssd-256gb-15-6-full-hd-intel-uhd-graphics-windows-11-pro-1730944591524430895?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi%26search_id%3D20260429151420577BCC914F9E55381FVU%26src%3Dsearch","M.idss"
"1777476317-338","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20xiaomi","XIAOMI Redmi Book 15 Layar 15.6 inch FHD Intel Core i3-1115G4 Baterai Besar 46Whr Windows 10","Rp3.750.000","","4 barang berhasil terjual","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/partisiid/xiaomi-redmi-book-15-layar-15-6-inch-fhd-intel-core-i3-1115g4-baterai-besar-46whr-windows-10?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi%26search_id%3D20260429151420577BCC914F9E55381FVU%26src%3Dsearch","ataracom"
"1777476320-339","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20xiaomi","Xiaomi Redmibook Pro 8/512 GB","Rp8.500.000","","","Kab. Bekasi","https://www.tokopedia.com/ch23nd/xiaomi-redmibook-pro-8-512-gb-1731401681478911526?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi%26search_id%3D20260429151420577BCC914F9E55381FVU%26src%3Dsearch","Ch23nd Store"
"1777476324-340","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20xiaomi","XIAOMI Redmi Book 15 Layar 15.6 inch FHD Intel Core i3-1115G4 Baterai Besar 46","Rp3.440.000","","","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/partisiid/xiaomi-redmi-book-15-layar-15-6-inch-fhd-intel-core-i3-1115g4-baterai-besar-46-1734643232437077206?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi%26search_id%3D20260429151420577BCC914F9E55381FVU%26src%3Dsearch","ataracom"
"1777476328-341","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20xiaomi","REDMIBOOK 15 • Processor Intel Core i3 - 1115G4 8GB 256GB 15,6 inch HD #2ND","Rp4.250.000","","","Kota Probolinggo","https://www.tokopedia.com/amd-komputer/redmibook-15-processor-intel-core-i3-1115g4-ram-8gb-ssd-256gb-display-15-6-inch-hd-intel-hd-graphics-1734579662691992822?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi%26search_id%3D20260429151420577BCC914F9E55381FVU%26src%3Dsearch","amdkomputer"
"1777476331-342","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20xiaomi","LAPTOP REDMI BOOK 15 CORE I3-1115G4 RAM 8 GB SSD 256 GB WIN 11 ORI","Rp3.300.000","5","Terjual 1","Kota Bogor","https://www.tokopedia.com/alfatihcomputer/laptop-redmi-book-15-core-i3-1115g4-ram-8-gb-ssd-256-gb-win-11-ori-1730987388319794344?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi%26search_id%3D20260429151420577BCC914F9E55381FVU%26src%3Dsearch","Al Fatih Computer Store"
"1777476335-343","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20xiaomi","LAPTOP REDMI BOOK 15 CORE I3-1115G4 RAM 8 GB SSD 256 GB WIN 11 ORI","Rp3.000.000","","1 barang berhasil terjual","Kota Bogor","https://www.tokopedia.com/amcomputerlaptop/laptop-redmi-book-15-core-i3-1115g4-ram-8-gb-ssd-256-gb-win-11-ori-1730844408685167744?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi%26search_id%3D20260429151420577BCC914F9E55381FVU%26src%3Dsearch","AM COMPUTINDO ELECTRO"
"1777476339-344","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20xiaomi","Xiaomi RedmiBook 15 | i3 1115G4 | RAM 8GB | SSD 256GB","Rp3.450.000","","","Kota Denpasar","https://www.tokopedia.com/lidya-tan/xiaomi-redmibook-15-i3-1115g4-ram-8gb-ssd-256gb-1731205819273086922?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi%26search_id%3D20260429151420577BCC914F9E55381FVU%26src%3Dsearch","Lidya Tan"
"1777476342-345","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20xiaomi","XIAOMI Redmi Book 15 Layar 15.6 inch FHD Intel Core i3-1115G4 Baterai Besar 46Whr Windows 10, Lengkap, Navy Blue","Rp3.528.000","","","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/radarcomputer/xiaomi-redmi-book-15-layar-15-6-inch-fhd-intel-core-i3-1115g4-baterai-besar-46whr-windows-10-lengkap-navy-blue-1732807575263086314?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi%26search_id%3D20260429151420577BCC914F9E55381FVU%26src%3Dsearch","radarcomputer"
"1777476346-346","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20xiaomi","Laptop Xiaomi Redmibook 15","Rp2.000.000","","","Kab. Lampung Selatan","https://www.tokopedia.com/paris-cell-com/laptop-xiaomi-redmibook-15-1733403114665641156?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi%26search_id%3D20260429151420577BCC914F9E55381FVU%26src%3Dsearch","PARIS COMPUTER"
"1777476349-347","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20xiaomi","Laptop XIAOMI Redmi Book 15 Layar 15.6 inch Intel Core i3-1115G4 Gen 11Th Ram 8Gb/SSD 256Gb FHD Body design Slim","Rp3.100.000","","","Kab. Bekasi","https://www.tokopedia.com/electronics-store-1/laptop-xiaomi-redmi-book-15-layar-15-6-inch-intel-core-i3-1115g4-gen-11th-ram-8gb-ssd-256gb-fhd-body-design-slim-1731793368519771459?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi%26search_id%3D20260429151420577BCC914F9E55381FVU%26src%3Dsearch","Electronic Store's"
"1777476353-348","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20xiaomi","REDMIBOOK 15 INTEL CORE I3-1115G4 RAM 8/256 SSD (2021) 000000","Rp2.500.000","","","Kota Tangerang","https://www.tokopedia.com/fineapplestore/redmibook-15-intel-core-i3-1115g4-ram-8-256-ssd-2021-000000-1734851847725745927?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi%26search_id%3D20260429151420577BCC914F9E55381FVU%26src%3Dsearch","Fine Applestore"
"1777476356-349","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20xiaomi","Xiaomi Book 12.4inch 8/256GB windows11+Free Keyboard Original Ex Inter Bekas","Rp5.800.000","5","Terjual 2","Kota Pekanbaru","https://www.tokopedia.com/manto808-197/xiaomi-book-12-4inch-8-256gb-windows11-free-keyboard-original-ex-inter-bekas?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi%26search_id%3D20260429151420577BCC914F9E55381FVU%26src%3Dsearch","manto808"
"1777476360-350","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20xiaomi","Laptop Xiaomi Mi Gaming i7-8750H GTX1060 6GB Graphics 15.6"" FHD/1TB Storage","Rp6.200.000","","","Kab. Bandung","https://www.tokopedia.com/rangga477/laptop-xiaomi-mi-gaming-i7-8750h-gtx1060-6gb-graphics-15-6-fhd-1tb-storage?extParam=ivf%3Dfalse%26keyword%3Dlaptop+xiaomi%26search_id%3D20260429151420577BCC914F9E55381FVU%26src%3Dsearch","rangga477"
