web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,detail produk,nama toko
"1777254900-507","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","Laptop Ryzen 5 SPC Style 5 AMD Ryzen 5 3500 8GB 256GB SSD 14FHD IPS Backlit Keyboard - Laptop","Rp5.599.000","5","Terjual 28","Kota Administrasi Jakarta Timur","https://www.tokopedia.com/agresidjaktim/laptop-ryzen-5-spc-style-5-amd-ryzen-5-3500-8gb-256gb-ssd-14fhd-ips-backlit-keyboard-1731268332958091040?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch","AGRES ID Jakarta Timur"
"1777254904-508","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","REDMIBOOK 15 8/512GB SECOND LIKE NEW","Rp2.990.000","5","Terjual 3","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/gadegetnesiaid/redmibook-15-8-512gb-second-like-new-1731947300676404456?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch","Batibull"
"1777254908-509","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","LAPTOP ACER ASPIRE LITE 14 AL14 AMD RYZEN 3 5400 RAM 8GB SSD 512GB W11+OHS+M365B 14"" WUXGA IPS - LAPTOP SIAP PAKAI GARANSI RESMI - LAPTOP, RAM 8GB/512GB","Rp7.649.000","5","Terjual 40+","Kota Administrasi Jakarta Utara","https://www.tokopedia.com/royalltech/hp-250-g8-intel-core-i5-1135g7-i3-1115g4-16gb-8gb-512gb-256gb-w11-15-6fhd-1729817350083282423-1734961715107956215?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch","royalltech"
"1777254912-510","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","Laptop Soulmate AMD 3020E 8GB/128GB 14"" HD Windows 11 Advan Workpro Workplus - Black","Rp4.217.556","","3 barang berhasil terjual","Kota Surabaya","https://www.tokopedia.com/pernikpadget/laptop-soulmate-amd-3020e-8gb-128gb-14-hd-windows-11-advan-workpro-workplus-black-1730734503106217727?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch","PERNAK PERNIK GADGET"
"1777254915-511","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","Laptop Notebook Itel Able 1 by Infinix - Celeron - 1 TB - 4 - Windows","Rp6.599.000","5","Terjual 1","Kota Surabaya","https://www.tokopedia.com/technosify/laptop-notebook-itel-able-1-by-infinix-celeron-1-tb-4-windows?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch","technosify"
"1777254919-512","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","ADVAN LAPTOP WORKMATE AMD RYZEN 5 3500U 14 INCH FHD+ 16:10 IPS  8GB 256GB FREE WINDOWS 11.LIGHT - Light Blue","Rp5.549.000","4.9","Terjual 90+","Kota Administrasi Jakarta Selatan","https://www.tokopedia.com/advan-by-urbanlife/advan-laptop-workmate-amd-ryzen-5-3500u-14-inch-fhd-16-10-ips-8gb-256gb-free-windows-11-light-1733240690366318415?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch","ADVAN BY URBANLIFE"
"1777254923-513","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","INFINIX XBOOK B14 RYZEN 7 7735HS RAM 8/16 GB SSD 256/512GB W11 14.0WUXGA - RYZEN 5 5500U 8/256GB, TANPA ANTIGORES","Rp6.399.000","5","Terjual 13","Kota Bandung","https://www.tokopedia.com/planetcomputer/infinix-xbook-b14-ryzen-7-7735hs-ram-8-16-gb-ssd-256-512gb-w11-14-0wuxga-1734322418428708014?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch%26whid%3D17747898","Planet Computer Store"
"1777254927-514","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","ADVAN 360 Go 4GB/256GB 14” AMD Ryzen 3 3200U FHD IPS Touchscreen Laptop 2-in-1 Notebook Flip Free Windows 11 Original Garansi Resmi","Rp4.999.000","4.4","Terjual 80+","Kab. Tangerang","https://www.tokopedia.com/advanstore/advan-360-go-4gb-256gb-14-amd-ryzen-3-3200u-fhd-ips-touchscreen-laptop-2-in-1-notebook-flip-free-windows-11-original-garansi-resmi-1733973060778755943?extParam=ivf%3Dtrue%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch%26whid%3D21392088","ADVAN INDONESIA"
"1777254931-515","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","Laptop HW mach wx9 intel core i5 Gen 8 RAM 8GB SSD 512GB screen 14 inch touchscreen windows 11 Pro - 8GB, SSD 256GB","Rp3.999.000","","1 barang berhasil terjual","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/laptoppro-id/laptop-hw-mach-wx9-intel-core-i5-gen-8-ram-8gb-ssd-512gb-screen-14-inch-touchscreen-windows-11-pro-1733285991345260310?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch","LaptopPro id"
"1777254935-516","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","HP elitebook 745 G6 AMD ryzen 5 PRO| 16GB | SSD 512 | RADEON VEGA 8 - HP 645 G4 R5, 8GB / 256GB","Rp3.150.000","4.9","Terjual 100+","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/alvinluo-shop/hp-elitebook-745-g6-amd-ryzen-5-pro-16gb-ssd-512-radeon-vega-8-1731662165344356137?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch","MR elektronik"
"1777254940-517","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","Laptop Intel N100 - ADVAN TBOOK N100 4-8GB 128GB eMMC 5.1 W11 14HD 1Y DARK GREY NO BAG - NO, 4/128GB","Rp3.949.000","5","Terjual 250+","Kota Administrasi Jakarta Selatan","https://www.tokopedia.com/digitalzonepoins/laptop-advan-soulmate-14-8-128gb-n4020-w11-original-14-ips-hd-1735078247463224938?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch","DIGITALZONE POINS"
"1777254944-518","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","Laptop LENOVO Ideapad 330S Core i5 Gen 8 Radeon 530 | 8GB / SSD 256GB | 14"" HD Backlit - CELERON, 4GB | HDD. 500GB","Rp1.650.000","5","Terjual 3","Kab. Bekasi","https://www.tokopedia.com/visionmulticom/laptop-th1nk-e460-core-i7-gen6-radeon-r7-8gb-ssd-256gb-14-fhd-1731888443601159205-1735207784344093733?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch","Vision Multicom"
"1777254948-519","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","Laptop ADVAN Soulmate Intel N4020 | 8GB / 256GB | 14"" HD - 4GB | 128GB","Rp1.768.000","5","Terjual 2","Kab. Bekasi","https://www.tokopedia.com/visionmulticom/notebook-dell-m6700-core-i7-3940-nvidia-quadro-4gb-ssd-256-17-3-1735216077150454821?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch","Vision Multicom"
"1777254952-520","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","[L37] LAPTOP FLIP 2in1 TOUCHSCREEN RAM 4GB SSD LAYAR Lcd 12""in OS Chrome - LAYAR SENTUH (TOUCHSCREEN)","Rp1.499.045","4.5","Terjual 750+","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/happygsr/l37-laptop-flip-2in1-touchscreen-ram-4gb-ssd-layar-lcd-12-in-os-chrome-1730001400187030406?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch","HappyGSR_NEW"
"1777254956-521","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","realme Note 70 4GB+8GB*|64GB | Titan Battery 6300mAh | Shock Resistance Military Grade | Ultra Slim Design - Beach Gold","Rp1.749.000","4.9","Terjual 250+","Kab. Tangerang","https://www.tokopedia.com/realme-official-indonesia/realme-note-70-4gb-8gb-64gb-titan-battery-6300mah-shock-resistance-military-grade-ultra-slim-design-1732253619857819400-1735127973769348872?extParam=ivf%3Dtrue%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch","realme Official Indonesia"
"1777254960-522","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","Thinktech Laptop Chromebook Series 100E Layar 11.6'' RAM 4GB /32GB - JAWA","Rp899.000","4.9","Terjual 100+","Kota Semarang","https://www.tokopedia.com/thinktech-laptop/thinktech-laptop-chromebook-series-100e-prosesor-intel-celeron-n3350-layar-11-6-ram-4gb-internal-32gb-chrome-os-dengan-webcam-720-pixel-dan-audio-jack-3-5mm-battery-charger-termasuk-1735002723400648356?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch%26whid%3D18440902","Thinktech Laptop"
"1777254964-523","https://www.tokopedia.com/search?condition=1&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=Laptop%20Realme","TOKO LAPTOP ID LAPTOP SERI 245 LAYAR 14"" INCH RAM 8 GB SSD 128 AMD RADEON 4 Windows 11 PRO 64 BIT - RAM 8 I SSD 128, TYPE 245","Rp2.290.000","","1 barang berhasil terjual","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/toko-laptop-id/laptop-seri-245-layar-14-inch-ram-8-gb-ssd-128-amd-radeon-4-1734992593123182200-1734993049125619320?extParam=ivf%3Dfalse%26keyword%3Dlaptop+realme%26search_id%3D20260427014422496E05E1AEA0A91DFZXF%26src%3Dsearch","Toko Laptop ID_NEW"
