web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,detail produk,nama toko
"1777546539-36","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Oppo a9 2020 8/128 garansi resmi - Unit Only","Rp1.090.000","5","Terjual 12","Kab. Bekasi","https://www.tokopedia.com/jarstoresbg/oppo-a9-2020-8-128-garansi-resmi-unit-only?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","JARSTORE SBG"
"1777546541-37","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Oppo F9 4/128gb | Oppo F 9 Hp Oppo second original","Rp850.000","4.9","Terjual 80+","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/yude-cell-official/oppo-f9-4-128gb-oppo-f-9-hp-oppo-second-original?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","Best Yude Store"
"1777546543-38","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Redmi note 14 5G 12/512GB fullset mulus second - 8/256","Rp2.750.000","5","Terjual 40+","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/didoalfarezi/redmi-note-14-5g-12-512gb-fullset-mulus-second-1732039721552086123?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","pho pho cell"
"1777546546-39","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Oppo F11 6/128gb | Oppo F 11 | hp oppo second normal - 6/128GB","Rp1.100.000","4.9","Terjual 30+","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/yude-cell-official/oppo-f11-6-128gb-oppo-f-11-hp-oppo-second-normal-6-128gb-09f10?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","Best Yude Store"
"1777546549-40","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Mi Max 3 Ram 6/128 Layar 6,9 in Vs Redmi 8 Realme 5 Pro Vivo Z1 Pro 4/ - Deskripsi No.1","Rp2.500.000","4.9","Terjual 12","Kota Semarang","https://www.tokopedia.com/bestsale/mi-max-3-ram-6-128-layar-6-9-in-vs-redmi-8-realme-5-pro-vivo-z1-pro-4-deskripsi-no-1?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","Best Sale Shop Tokopedia"
"1777546552-41","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Xiaomi redmi 5 plus 5+ second ram 4/64gb original bukan refurbished - RAM 3/32GB","Rp600.000","5","Terjual 10","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/iyulcelll/xiaomi-redmi-5-plus-5-second-ram-4-64gb-original-bukan-refurbished-ram-3-32gb-8ca5f?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","iyulcelll"
"1777546554-42","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Hp murah POCO M3 6/128 GB - Kuning","Rp6.825.000","5","Terjual 90+","Kota Surabaya","https://www.tokopedia.com/dirabookshop/hp-murah-poco-m3-6-128-gb-kuning-5ed4d?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","Dirabookshop"
"1777546556-43","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Samsung Galaxy M10 Resmi SEIN - Unit only","Rp600.000","4.9","Terjual 30+","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/tokoacoy/samsung-galaxy-m10-resmi-sein-unit-only?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","Tokoacoy Official_NEW"
"1777546559-44","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Redmi Poco M3 Ram 6GB Internal 128GB Hp Second","Rp1.750.000","5","Terjual 11","Kab. Tasikmalaya","https://www.tokopedia.com/only-for-you-/redmi-poco-m3-ram-6gb-internal-128gb-hp-second?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","only for you-"
"1777546562-45","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Samsung A70 6/128 GB Garansi Resmi indonesia SEIN - Ram 6/128 GB MANTAP","Rp1.075.000","5","Terjual 10","Kab. Bekasi","https://www.tokopedia.com/jarstoresbg/samsung-a70-6-128-gb-garansi-resmi-indonesia-sein-1735336681356691309?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","JARSTORE SBG"
