web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777366126-19","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Honor 7A Smartphone - Blue [32GB/ 3GB]","1.910.000","5","Terjual 3","","Kota Jakarta Timur"
"1777366126-20","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Honor 7A Smartphone - Blue [32GB/ 3GB]","1.499.000","","","","Kota Jakarta Pusat"
"1777366126-21","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","HONOR X7D 8GB+512GB BNIB Garansi Resmi Indonesia","4.628.440","","","","Kota Bandung"
"1777366126-22","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Honor 9 Lite Smartphone - Blue [32GB/ 3GB]","2.499.000","","","","Kota Cirebon"
"1777366126-23","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Honor 400 Lite 5G 8/256 GB Garansi Resmi","4.137.000","","","Kota Jakarta Pusat","Gudang-hp.com Flagship Store"
"1777366126-24","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","HONOR X6C 6GB+128GB BNIB Garansi Resmi Indonesia","3.139.767","","","","Kota Bandung"
"1777366126-25","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Honor X6C 6/256 New Garansi Resmi Promo Bandung","2.954.667","","","","Kota Bandung"
"1777366126-26","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","HONOR X7D LTE 8/512GB Kamera 108MP Baterai 6500mAh Layar 120Hz NFC Smartphone Snapdragon 685 Original Resmi","4.094.000","","","Kota Bandung","Era 2000 Flagship Store"
"1777366126-27","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","HONOR X6C 6/256 GB GARANSI RESMI HONOR INDONESIA TERMURAH","2.928.200","","","Kota Surabaya","Hapemall Flagship Store"
"1777366126-28","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","HONOR X7D 8/512 GB GARANSI RESMI HONOR INDONESIA TERMURAH","4.348.000","","","Kota Surabaya","Hapemall Flagship Store"
"1777366126-29","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","HONOR 400 LITE 5G 8/256 GB GARANSI RESMI HONOR INDONESIA TERMURAH","3.861.500","","","Kota Surabaya","Pasar Ponsel Flagship Store"
"1777366126-30","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","HONOR PAD X9A 8/128 GB GARANSI RESMI HUAWEI HONOR TERMURAH","4.331.300","","","Kota Surabaya","Hapemall Flagship Store"
"1777366126-31","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","HONOR 4C 2/8 GB","850.000","","","","Kab. Tangerang"
"1777366126-32","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","HONOR 400 5G NFC GARANSI RESMI","6.824.025","","","Kota Jakarta Pusat","SCORPIO ELEKTRO Flagship Store"
"1777366126-33","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Honor 400 Lite 8/256GB Garansi Resmi","4.171.000","","","","Kab. Jember"
"1777366126-34","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","HONOR Pad 9 8/256GB Garansi Resmi","4.699.000","","","","Kota Jakarta Timur"
"1777366126-35","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Honor X6C 6/256 GB Garansi Resmi","2.920.000","","","Kota Bandung","MetaCore Store Flagship Store"
"1777366126-36","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Honor X7D 8/512 GB Garansi Resmi","4.340.000","","","Kota Bandung","MetaCore Store Flagship Store"
"1777366126-37","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","[BARU] HONOR 400 Lite 8/256GB 5G AMOLED 6,7 inc - Mediatek Dimensity 7025 Ultra - Original Garansi Resmi HONOR Indonesia","4.229.060","","","","Kota Surabaya"
"1777366126-38","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Honor X7D 8/512GB Snapdragon 685, 6500mAh 35W, 108 MP | Garansi Resmi Honor Indonesia 1 Tahun","4.345.000","3","Terjual 1","Kota Tangerang","Evogad Flagship Store"
"1777366126-39","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","HONOR X7d 8/512GB New Garansi","4.599.000","","","Kota Semarang","SINAR MAS SELLULER CL Flagship Store"
"1777366126-40","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Honor 400 5G 12/512 GB - Garansi Resmi","7.049.000","","","Kota Jakarta Timur","Ucell Cempaka"
"1777366126-41","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","HONOR X6c [6/256GB] - Garansi Resmi","2.999.000","","","Kota Surabaya","REJODADI Gadget Flagship Store"
"1777366126-42","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","HONOR 400 LITE 5G 8/256GB GARANSI RESMI","3.994.000","","","Kota Bekasi","SKC Store"
"1777366126-43","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","HONOR PAD X8A 4/128GB GARANSI RESMI","2.199.000","","","Kota Bekasi","SKC Store"
"1777366126-44","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Honor 400 Lite 5G 8/256 - Garansi Resmi","3.765.000","","","Kota Jakarta Timur","Royal Makmur Flagship Store"
"1777366126-45","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","HONOR X7d [8/512GB] - Garansi Resmi","4.499.000","","","Kota Surabaya","REJODADI Gadget Flagship Store"
"1777366126-46","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","HONOR 400 LITE 8/256 5G GARANSI RESMI TERMURAH","3.861.500","","Terjual 2","Kota Surabaya","Hapemall Flagship Store"
"1777366126-47","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Pre-order","20.560.000","","","Kota Jakarta Barat","CERIA PONSEL STORE Flagship Store"
"1777366126-48","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Honor Pad 9 Ram 8/256Gb New. Bnib. Garansi Resmi","4.750.000","","","","Kota Jakarta Timur"
"1777366126-49","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Pre-order","20.560.000","","","Kota Tangerang","Evogad Flagship Store"
"1777366126-50","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Honor X6C 6/256GB NFC MediaTek Helio G81 Ultra, 5300mAh 35W | Garansi Resmi Honor Indonesia 1 Tahun","2.885.000","","","Kota Tangerang","Evogad Flagship Store"
"1777366126-51","https://www.blibli.com/cari/hp%20honor?brand=Honor&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=3&start=80","Honor X7D 8/512GB 108MP Kamera Garansi Resmi","4.499.000","","","Kota Bandung","Gadget Co. Flagship Store"
