web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777175227-30","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","ACER Aspire Go AG14-72P-50C7 Laptop - Silver [Core 5 - 120U/16GB/512GB/Win11/OHS 24+M365/14"" WUXGA IPS/NX.JSBSN.005] FREE Bag","11.449.000","","Terjual 21","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777175227-31","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","ACER Aspire Go AG14-72P-52Z2 Laptop - Matcha [Core 5 - 120U/16GB/512GB/Win11/OHS 24+M365/14"" WUXGA IPS/NX.JYDSN.002] FREE Bag","11.649.000","","","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777175227-32","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","Acer Swift Go SFG14-75-754V Laptop - Blue [Ultra 7-258V/32GB LPDDR5/1TB NVMe/Win11/OHS 24/14"" WUXGA OLED 90Hz DCI-P3 100%/NX.JNBSN.001] FREE Bag","19.449.000","","Terjual 2","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777175227-33","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","Acer Aspire 7 Pro A715-59G-516G Gaming Laptop [15.6"" FHD IPS 144Hz/i5-13420H/RTX 3050 6G/16G/512G/W11/OHS24/UN.QX0SD.001] Free Bag","13.949.000","","","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777175227-34","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","ACER Spin 14 ASP14-51MTN-351C - Grey [Core 3-100U/16GB/512GB/Win11/OHS 21/14"" WUXGA IPS/NX.KT3SN.003] FREE Bag","10.199.000","5","Terjual 46","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777175227-35","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","Acer Nitro Lite NL 16-71G-5613 Gaming - Black [15.6"" WUXGA IPS 180Hz 100% sRGB/Core 5-210H/RTX 3050 6G/16G/512G/W11/OHS24/NH.DACSN.002] Free Bag","15.949.000","5","Terjual 3","Blibli Flagship (Komputer) Flagship Store","Disediakan Blibli"
"1777175227-36","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","Laptop Acer Aspire Go AG14-72P i3-1315U 8GB 512GB SSD 14"" FHD Windows 11 + Office Original","9.947.000","","","Kota Jakarta Pusat","KlikGadget Flagship Store"
"1777175227-37","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","Laptop ACER SWIFT 3 OLED SF314-71-74Y3 I7-12700H 16GB 1TB 14"" W11+OHS","16.499.000","","","Kota Medan","KomputerMedan Flagship Store"
"1777175227-38","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","LAPTOP ASUS ACER HP LENOVO GARANSI RESMI NEW","3.980.000","","","Kota Pekanbaru","wwponsel_hangtuah Flagship Store"
"1777175227-39","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","Laptop Acer ASPIRE LITE AL14-37P-C18U INTEL N150 8GB -SSD 512GB -WIN11+OHS - PINK","5.999.000","","","Kota Medan","REINO KOMPUTINDO Flagship Store"
"1777175227-40","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","Laptop ACER Aspire Go Spin AGSP14-31PT-386W i3 N355 ram 8GB DDR5 SSD 512GB 14"" WUXGA IPS TOUCH Win11+OHS Silver - NX.J3USN.001","9.200.000","","","Kota Medan","Komputer Medan"
"1777175227-41","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","Laptop ACER Nitro Lite 16 NL16-71G-506C GeForce RTX 3050 6GB Core 5 210H RAM 16GB DDR5 512GB SSD 16"" WUXGA IPS 180Hz Win 11 HOME+2024+365 White","12.509.000","","","Kota Medan","Komputer Medan"
"1777175227-42","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","Laptop ACER Aspire 7 PRO A715-59G-516G GeForce RTX 3050 6GB Intel Core i5 13420H RAM 16GB SSD 512GB 15,6"" 144Hz WIN 11+OHS 2021 BLACK - UN.QX0SD.001","13.200.000","","","Kota Medan","KomputerMedan Flagship Store"
"1777175227-43","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","Laptop ACER Nitro V16 16s ANV16S-41-R8CJ GeForce RTX 5050 8GB Ryzen 7 260 RAM 16GB DDR5 512GB SSD 16"" IPS WUXGA 180Hz Win 11+OHS 2024+365 Black","21.410.000","","","Kota Medan","KomputerMedan Flagship Store"
"1777175227-44","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","Laptop ACER Aspire 7 PRO A715-59G-516G GeForce RTX 3050 6GB Intel Core i5 13420H RAM 16GB SSD 512GB 15,6"" 144Hz WIN 11+OHS 2021 BLACK - UN.QX0SD.001","13.200.000","","","Kota Medan","Komputer Medan"
"1777175227-45","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","LAPTOP SEKOLAH TERMURAH LENOVO V15 G2 IJL INTEL CELERON N4500 8GB SSD 25GB/ INTEL UHD GRAPHICS 15 INCH FHD WINDOWS 11","3.827.676","","","","Kota Surabaya"
"1777175227-46","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","Acer Laptop Nitro Lite NL16-71G 50T3 Intel Core 5 210H 16GB 512 GB RTX 4050 16 Inch W11 +OHS","16.999.000","","","Kota Bandung","Funan Van Java Flagship Store"
"1777175227-47","https://www.blibli.com/cari/laptop%20acer?page=20&start=760&sort=0&firstLoad=false","Laptop Acer Aspire 5 A514","7.200.000","","","","Kota Surabaya"
