web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1778027788-45","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO Y29 6/128","2.399.000","","","","Kota Surabaya & kota lainnya"
"1778027788-46","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo V40 Lite 5G Ram 8GB Rom 256GB","2.889.000","","","","Kota Surabaya"
"1778027788-47","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo V30e Ram 8GB Rom 256GB","2.889.000","","","","Kota Surabaya"
"1778027788-48","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo V50 Lite Ram 8GB Rom 256GB","3.789.000","","","","Kota Surabaya"
"1778027788-49","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo V50 Ram 12GB Rom 256GB","5.140.000","","","","Kota Surabaya"
"1778027788-50","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO Y53S RAM 8/128 GARANSI RESMI VIVO","2.700.000","5","Terjual 2","","Kota Surabaya"
"1778027788-51","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo V50 Lite Ram 8GB Rom 128GB","2.965.000","","","","Kota Surabaya"
"1778027788-52","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo V30e Ram 8GB Rom 128GB","2.740.000","","","","Kota Surabaya"
"1778027788-53","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo V27E Ram 12GB Rom 256GB","4.089.000","5","Terjual 1","","Kota Surabaya"
"1778027788-54","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo V30 5G Ram 12GB Rom 512GB","4.389.000","","","","Kota Surabaya"
"1778027788-55","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo Y29 Ram 8GB Rom 128GB","2.589.000","5","Terjual 2","","Kota Surabaya"
"1778027788-56","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo Y03 Ram 4GB Rom 128GB","1.389.000","","","","Kota Surabaya"
"1778027788-57","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo Y27 4G Ram 6GB Rom 128GB","1.689.000","","Terjual 1","","Kota Surabaya"
"1778027788-58","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo Y28 Ram 8GB Rom 128GB Segel Original","1.789.000","","","","Kota Surabaya"
