web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777249757-30","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","[Best Offer] HUAWEI MateBook D 14 up to i5-13420H 16+512GB SSD","9.999.000","","Terjual 15","","Kota Depok"
"1777249757-31","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","Huawei Matebook 14S Intel i5 8GB 512GB Garansi Resmi Huawei Indonesia","11.999.000","5","Terjual 12","Kota Bandung","Beli Beli Indonesia Flagship Store"
"1777249757-32","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","Pre-order","9.999.999","","","Kab. Tangerang","IT Galeri #1 Flagship Store"
"1777249757-33","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","Huawei MateBook D14 Laptop [Intel i5/8GB/512GB/14-Inch FullView Display]","9.999.999","","","Kab. Bogor","IT Galeri #1 Flagship Store"
"1777249757-34","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI MateBook X Pro Laptop [Intel i7 12th Gen | 16+1TB] | 14.2” Inch","9.999.999","","","Kab. Tangerang","IT Galeri #1 Flagship Store"
"1777249757-35","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","Huawei MateBook D16 Laptop - i5-13420H | i9-13900H/16GB/1TB/16.0/WIN11/SILVER","9.999.999","","Terjual 14","Kab. Tangerang","IT Galeri #1 Flagship Store"
"1777249757-36","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","Pre-order","11.499.000","5","Terjual 6","Kab. Bogor","IT Galeri #1 Flagship Store"
"1777249757-37","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","Huawei Matebook D14 - i5-10210U, 8GB, 512GB, MX250 2GB, Windows 10","11.788.900","","","Kab. Sleman","ANANDAM.ID Flagship Store"
"1777249757-38","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI Matebook D14 - AMD Ryzen 7 3700U 8GB 512GB 14 Inch FHD Win 10","10.763.700","","","Kab. Sleman","ANANDAM.ID Flagship Store"
"1777249757-39","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI Matebook D14 - i5-10210U 8GB 512GB MX250 2GB Win10","11.788.900","","","Kab. Sleman","ANANDAM.ID Flagship Store"
"1777249757-40","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","Huawei Matebook D15 15.6 I3 10110U 8GB 256GB SSD WIN10","9.225.900","","","Kab. Sleman","ANANDAM.ID Flagship Store"
"1777249757-41","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","Huawei Matebook D14 - i3-1215U/8GB/256GB/14.0"" FHD/W11/Silver","9.999.999","","Terjual 29","Kab. Tangerang","IT Galeri #1 Flagship Store"
"1777249757-42","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","Huawei Matebook D14 - i5-12450H | i5-13420H/8GB | 16GB /512GB/14.0/W11/SILVER","9.999.999","","Terjual 3","Kab. Tangerang","IT Galeri #1 Flagship Store"
"1777249757-43","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false&page=2&start=40","HUAWEI MateBook D 14 i5-1135G7 [8+512GB] | Sleek Metal Body | 56Wh FHD","9.999.999","5","Terjual 42","Kab. Tangerang","IT Galeri #1 Flagship Store"
"1777249793-44","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false","Laptop HUAWEI MateBook 14s Intel Core i5-11300H 8GB 512GB SSD 14.2inch IPS Win 10 Murah","18.081.000","","","",""
"1777249793-45","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false","Huawei D 14 MateBook [AMD Ryzen 7 3700U/ 8GB DDR4/ 512GB/ 14 Inch/ Windows 10 Home]","10.487.088","","Terjual 5","",""
"1777249793-46","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false","HUAWEI MateBook D15 i3 [Intel i3 | 8GB+256GB ] Laptop","8.999.000","","Terjual 6","",""
"1777249793-47","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false","HUAWEI MateBook D 16 i5/i7 Laptop | 16+512GB | 16-inch | 12th Gen Intel Core H-Series |100% sRGB display | Sleek Metallic Body | Super Device","13.999.000","","Terjual 14","",""
"1777249793-48","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false","HUAWEI Matebook 14 i5-1135G7 8GB/512GB SSD, Full View Dsplay 14""FHD 2K","12.999.000","","","",""
"1777249793-49","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false","HUAWEI MateBook D15 i5-10210U 8/512GB SSD, Full View Display 15""FHD","7.399.000","","","",""
"1777249793-50","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false","HUAWEI MateBook 14s [Intel i5 | 8GB+512GB]","16.999.000","","Terjual 11","",""
"1777249793-51","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false","HUAWEI MateBook 14s i5-11300H 8GB/512GB SSD, FVD 14"" 2.5K Touchscreen","14.999.000","","Terjual 2","",""
"1777249793-52","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false","HUAWEI MateBook D15 i3-1011U 8/256GB SSD, Full View Display 15""FHD","6.799.000","","","",""
"1777249793-53","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false","HUAWEI MateBook D14 Intel Core i3","7.349.000","","Terjual 2","",""
"1777249793-54","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false","Huawei MateBook X Pro 2020","29.000.000","","","",""
"1777249793-55","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false","HUAWEI MateBook D 14 i5-1135G7 [8+512GB] | Sleek Metal Body | 56Wh FHD","10.499.000","","Terjual 11","",""
